image,label
/content/drive/MyDrive/Deepfake_Project/Processed/train/real/real0_0.jpg,0
/content/drive/MyDrive/Deepfake_Project/Processed/train/real/real0_1.jpg,0
/content/drive/MyDrive/Deepfake_Project/Processed/train/real/real0_2.jpg,0
/content/drive/MyDrive/Deepfake_Project/Processed/train/real/real0_3.jpg,0
/content/drive/MyDrive/Deepfake_Project/Processed/train/real/real0_4.jpg,0
/content/drive/MyDrive/Deepfake_Project/Processed/train/real/real0_5.jpg,0
/content/drive/MyDrive/Deepfake_Project/Processed/train/real/real0_6.jpg,0
/content/drive/MyDrive/Deepfake_Project/Processed/train/real/real0_7.jpg,0
/content/drive/MyDrive/Deepfake_Project/Processed/train/real/real0_8.jpg,0
/content/drive/MyDrive/Deepfake_Project/Processed/train/real/real0_9.jpg,0
/content/drive/MyDrive/Deepfake_Project/Processed/train/real/real0_10.jpg,0
/content/drive/MyDrive/Deepfake_Project/Processed/train/real/real0_11.jpg,0
/content/drive/MyDrive/Deepfake_Project/Processed/train/real/real0_12.jpg,0
/content/drive/MyDrive/Deepfake_Project/Processed/train/real/real0_13.jpg,0
/content/drive/MyDrive/Deepfake_Project/Processed/train/real/real0_14.jpg,0
/content/drive/MyDrive/Deepfake_Project/Processed/train/real/real0_15.jpg,0
/content/drive/MyDrive/Deepfake_Project/Processed/train/real/real0_16.jpg,0
/content/drive/MyDrive/Deepfake_Project/Processed/train/real/real0_17.jpg,0
/content/drive/MyDrive/Deepfake_Project/Processed/train/real/real0_18.jpg,0
/content/drive/MyDrive/Deepfake_Project/Processed/train/real/real0_19.jpg,0
/content/drive/MyDrive/Deepfake_Project/Processed/train/real/real0_20.jpg,0
/content/drive/MyDrive/Deepfake_Project/Processed/train/real/real0_21.jpg,0
/content/drive/MyDrive/Deepfake_Project/Processed/train/real/real0_22.jpg,0
/content/drive/MyDrive/Deepfake_Project/Processed/train/real/real0_23.jpg,0
/content/drive/MyDrive/Deepfake_Project/Processed/train/real/real0_24.jpg,0
/content/drive/MyDrive/Deepfake_Project/Processed/train/real/real0_25.jpg,0
/content/drive/MyDrive/Deepfake_Project/Processed/train/real/real0_26.jpg,0
/content/drive/MyDrive/Deepfake_Project/Processed/train/real/real0_27.jpg,0
/content/drive/MyDrive/Deepfake_Project/Processed/train/real/real0_28.jpg,0
